patent_id,patent_type,patent_date,patent_title,year,quarter,month,day_of_week,day_of_year,quarter_end,title_len_chars,title_len_words,title_has_number,title_has_acronym,kw_5g,kw_ai_ml,kw_cloud_edge,kw_security,kw_iot,kw_network,kw_energy,kw_antenna,kw_data,keyword_score,is_utility,is_design,is_other_type,tech_era,patent_count,patent_unique,utility_share,design_share,avg_title_words,avg_keyword_score,kw_5g_count,kw_ai_ml_count,kw_cloud_edge_count,kw_security_count,kw_iot_count,kw_network_count,kw_energy_count,kw_antenna_count,kw_data_count,patent_count_lag1,patent_count_lag2,patent_count_lag4,patent_count_roll4_mean,patent_count_roll8_mean,patent_count_qoq,patent_count_yoy,target_patent_count_current,target_patent_count_next_quarter,years_since_first_patent,patent_seq_global,year_patent_count
3934093,utility,1976-01-20,Transit exchange for asynchronous data with unknown structure,1976,1,1,1,20,1976-03-31,61,8,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,1,36
3936612,utility,1976-02-03,Control and holding circuit for relay matrices,1976,1,2,1,34,1976-03-31,46,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,3,36
3936781,utility,1976-02-03,Selecting device for crossbar switches,1976,1,2,1,34,1976-03-31,38,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,2,36
3938025,utility,1976-02-10,DC to DC converter for producing two individually controlled and stabilized DC-voltages,1976,1,2,1,41,1976-03-31,87,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,5,36
3938040,utility,1976-02-10,Apparatus for measuring a signal voltage including a current source with a control input on which said signal appears,1976,1,2,1,41,1976-03-31,117,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,4,36
3940562,utility,1976-02-24,Transit exchange for time division multiplex asynchronous data,1976,1,2,1,55,1976-03-31,62,8,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,7,36
3940566,utility,1976-02-24,Arrangement for preventing interruptions in a time division multiplex transmission link for transfer of data,1976,1,2,1,55,1976-03-31,108,15,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,6,36
3942152,utility,1976-03-02,Verification arrangement,1976,1,3,1,62,1976-03-31,24,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,8,36
3943444,utility,1976-03-09,Procedure to watch several radio channels at radio communication,1976,1,3,1,69,1976-03-31,64,9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,9,36
3944858,utility,1976-03-16,Arrangement for generating pulse sequences,1976,1,3,1,76,1976-03-31,42,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990,10,10,1.0,0.0,9.0,0.9,0,0,0,0,0,6,0,0,3,334.0,331.0,324.0,347.75,337.375,0.023872679045092937,0.07432432432432434,10,5.0,0,10,36
3949178,utility,1976-04-06,Electret device having charge maintained by radioactivity,1976,2,4,1,97,1976-06-30,57,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990,5,5,1.0,0.0,8.6,0.8,0,0,0,0,0,2,0,0,2,10.0,331.0,324.0,347.75,337.375,-0.5,0.07432432432432434,5,11.0,0,11,36
3962636,utility,1976-06-08,Device for converting an incoming analog signal into an outgoing PCM signal,1976,2,6,1,160,1976-06-30,75,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990,5,5,1.0,0.0,8.6,0.8,0,0,0,0,0,2,0,0,2,10.0,331.0,324.0,347.75,337.375,-0.5,0.07432432432432434,5,11.0,0,12,36
3963871,utility,1976-06-15,Analysis device for establishing the binary value of asynchronous data signals,1976,2,6,1,167,1976-06-30,78,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,legacy_pre_1990,5,5,1.0,0.0,8.6,0.8,0,0,0,0,0,2,0,0,2,10.0,331.0,324.0,347.75,337.375,-0.5,0.07432432432432434,5,11.0,0,13,36
